Jesse,Knight,0.12
Emily,Reyes,0.47
Wanda,Ward,0.18
Annie,Nelson,1.41
David,Fisher,3.66
Cynthia,Cook,0.09
Jerry,Perry,0.52
Walter,Shaw,1.05
Elizabeth,Sullivan,3.53
Phillip,Kim,1.03
Dennis,Knight,0.34
Linda,Oliver,0.37
Ralph,Rivera,2.23
David,Graham,1.77
Adam,Ferguson,2.84
Brenda,Ferguson,3.97
Ashley,Ramirez,2.03
Walter,Pierce,1.62
Robin,Fuller,1.01
Aaron,Moreno,4.29
Alan,Hanson,1.84
Charles,Patterson,2.52
Sarah,Gonzalez,1.04
Dennis,Matthews,3.75
Jacqueline,Carr,4.24
Victor,Harris,2.29
Todd,Stewart,1.62
Ashley,Rice,2.47
Bruce,Wagner,2.44
Lori,Stewart,0.17
Joshua,Marshall,1.94
Sandra,Perry,3.83
Robert,Ward,2.91
Tammy,Ellis,4.26
