Nancy,Hicks,2.21
Amanda,Howard,1.21
Scott,Stevens,3.14
Alan,Ferguson,0.22
Virginia,Mitchell,1.92
Gregory,Cox,2.16
Elizabeth,Boyd,1.12
Diane,Campbell,1.31
Frances,Hunt,0.38
Rose,Austin,0.68
Harry,Riley,2.04
Ann,Meyer,3.35
Mark,Owens,4.1
Maria,Austin,4.01
Teresa,Clark,2.07
Diana,Arnold,4.12
Irene,Hudson,2.93
Kimberly,Harper,1.46
George,Davis,2.97
Bruce,Lopez,4.13
Gloria,Johnson,1.32
Barbara,Martinez,2.54
Denise,Franklin,0.11
Teresa,Larson,1.24
Bobby,Lee,1.82
Ralph,Diaz,0.13
Bruce,Gonzalez,0.44
Lillian,Harris,2.18
Johnny,Kelly,3.95
Todd,Black,2.35
Cynthia,Williams,1.84
Albert,Porter,1.49
Mary,Nichols,1.68
Lois,Lopez,4.14
Andrea,Roberts,1.7
Andrew,Murphy,3.95
Ruth,Ramos,3.4
Juan,Bradley,0.77
Paul,Johnson,2.96
Howard,Young,0.66
Christopher,Franklin,0.31
Victor,Diaz,0.55
Beverly,Baker,2.41
Emily,Thomas,1.64
Antonio,Tucker,1.55
Jessica,Montgomery,1.55
Joe,Banks,0.28
Jacqueline,Kelley,3.73
Ruth,Wood,0.64
Emily,Williamson,0.95
Janice,Burton,2.28
Joseph,Greene,1.81
Sean,Moore,3.83
Christine,Hart,0.91
Phillip,Williamson,0.51
Jose,Carr,2.5
Donna,Vasquez,1.44
Christopher,Romero,3.87
Amanda,Watkins,0.91
Mary,Gardner,3.36
Paul,Henderson,2.99
Julie,Sims,2.39
Catherine,Richards,0.15
Albert,Grant,3.72
Harold,Washington,3.9
Johnny,Williamson,1.61
Eugene,Ellis,4.05
Todd,Stone,2.02
Susan,Nichols,1.01
Carolyn,Gomez,0.48
Michael,Hunt,2.46
Diane,Kim,1.73
Judith,Howell,0.17
Jimmy,Palmer,1.67
Michael,Anderson,3.83
Martha,Dunn,2.76
Brian,Welch,1.05
Beverly,Bowman,3.35
Willie,Hicks,0.81
Richard,Day,2.31
Denise,Medina,1.33
Johnny,Hamilton,1.45
Jimmy,Harrison,1.84
Frank,Weaver,2.2
Ernest,Hunt,2.69
Jack,Jordan,2.71
Cynthia,Welch,2.93
Sharon,Gomez,1.13
Jack,Stevens,0.75
Joseph,Boyd,0.41
Judith,Fowler,1.73
Sara,Lee,2.38
Matthew,Gutierrez,4.17
Janet,Greene,0.8
Billy,Hunter,2.15
Louise,Mcdonald,1.48
Kathleen,Henry,2.47
Johnny,Price,2.02
Anna,Coleman,0.21
Christina,Simpson,1.75
Donald,Morris,0.62
Carl,Little,1.85
Clarence,Perez,1.62
Stephen,Gonzalez,3.8
Kimberly,Harrison,0.51
George,Baker,2.13
Debra,Hall,3.7
Betty,Peters,3.77
Beverly,Moore,3.55
Henry,Porter,1.17
Fred,Dixon,2.52
Brenda,Powell,1.98
Walter,Boyd,3.9
Gloria,Howell,4.17
Albert,Rogers,2.63
Todd,Lawson,0.12
Melissa,Diaz,0.24
Martin,Perkins,1.9
Tina,Murphy,3.64
Diana,Ramos,3.92
Frank,Wood,2.41
Jacqueline,Schmidt,3.92
Marie,Taylor,2.37
George,Weaver,0.89
Robin,Jones,0.88
Clarence,Thomas,2.13
Beverly,Tucker,3.5
Jesse,Dunn,3.42
Albert,Davis,3.71
Amanda,Murray,1.98
James,Phillips,3.2
Doris,Kelley,3.28
Irene,Green,0.67
Martha,Patterson,3.42
Phillip,Hill,1.06
Raymond,Mccoy,3.36
Betty,Gutierrez,2.34
Andrew,Boyd,0.13
Donald,Ramos,0.41
Julie,Ellis,2.32
Ashley,Boyd,3.19
Maria,White,0.2
Brandon,Fisher,1.25
Marilyn,Harrison,1.13
Nicole,Graham,1.16
Brandon,Patterson,2.11
Catherine,Bishop,3.8
Phyllis,Nichols,1.1
Johnny,Perez,0.75
Jeremy,Bishop,0.28
