Mark,Allen,1.53
Ernest,James,4.02
Stephanie,Edwards,0.62
Joan,Hall,0.07
Joyce,Martin,1.04
Philip,Rice,1.95
Peter,Lynch,0.11
Phillip,Rose,2.33
Jonathan,Moreno,2.15
Donna,Warren,2.89
Jose,Reed,0.64
Peter,Hicks,3.48
Kathleen,Sims,0.79
Michael,Cunningham,0.01
Jason,Jacobs,1.69
Lori,Hughes,0.58
Justin,Webb,2.16
Michael,Harper,2.96
Mildred,Kelly,0.7
Donna,Jackson,3.74
Johnny,Rivera,3.79
Patrick,Stone,3.86
Donald,Medina,1.55
Jerry,Bradley,0.21
Evelyn,George,2.14
Dennis,Cook,0.71
Fred,Franklin,1.96
Donald,Martin,3.09
Jack,King,3.12
Peter,Webb,1.6
Ronald,Knight,2.26
Terry,West,2.17
Paul,Gibson,2.06
Robert,Gibson,4.01
Carol,Young,2.2
Carolyn,Richards,1.74
Kenneth,Harris,3.45
Richard,Nguyen,1.37
Harry,Garza,0.5
Cynthia,Mason,0.16
Louise,Castillo,4.03
Julie,Sanders,0.82
Robin,Stevens,3.39
Linda,Scott,3.63
Jeremy,Ross,3.27
Sara,Stanley,1.67
Linda,Gonzales,2.61
Donna,Andrews,1.74
Carol,Walker,2.57
Frances,Bryant,0.3
Robert,Ray,2.92
Norma,Gibson,3.55
Brandon,Washington,3.84
Brandon,Foster,3.95
Elizabeth,Thompson,2.63
Jeremy,Ramos,0.55
Nicholas,Morgan,0.26
Christina,Hughes,3.14
Virginia,Lawrence,3.18
Margaret,Burns,2.51
Emily,Sanders,0.7
Stephanie,George,1.19
Craig,Alvarez,0.89
Ruth,Daniels,1.25
Maria,Jacobs,1.79
Patricia,Robertson,2.47
Donna,Harrison,3.21
Terry,Pierce,2.15
Irene,Lopez,2.7
Fred,Little,3.97
Anne,Bennett,1.17
Marilyn,Owens,1.89
Eric,Murphy,3.58
Randy,Williamson,1.68
David,Wheeler,3.6
Clarence,Johnson,2.34
Shirley,Elliott,2.49
Kenneth,Mccoy,3.08
Melissa,Berry,1.11
Jonathan,Webb,3.54
Scott,Reid,4.23
Justin,Burton,2.63
Randy,Robinson,1.78
Irene,Palmer,1.87
Fred,Lawrence,3.4
Philip,Hall,0.45
Annie,Ruiz,2.05
Gloria,Foster,3.01
Steven,Johnson,2.27
Andrea,Rodriguez,0.53
Benjamin,Stanley,3.94
Donald,Harvey,2.12
Sara,Cunningham,2.09
Jimmy,Burke,3.14
Robert,Franklin,3.13
Walter,Rose,3.09
Jack,Patterson,4.17
Kevin,Knight,4.15
Martha,Castillo,0.82
Andrea,Armstrong,3.63
Susan,Murray,3.99
Tammy,Harris,2.78
Jason,Schmidt,2.11
Tina,Burns,1.32
Christopher,Mills,0.39
Todd,Banks,4.16
Doris,Elliott,0.01
Teresa,Webb,0.48
Louise,Martin,3.23
Matthew,Moore,2.99
Brian,Anderson,4.17
Deborah,Palmer,0.53
Frank,Andrews,2.65
Ronald,King,4.09
Doris,Coleman,3.28
Carlos,Daniels,1.49
Joe,Lawrence,3.48
Timothy,Rodriguez,2.14
Kathleen,Stone,0.41
Thomas,Lane,2.58
Christina,Carter,0.64
Rachel,Rose,0.9
Joseph,Bell,1.73
Julie,Gutierrez,2.91
Douglas,Spencer,3.39
Ruth,Stephens,0.8
Mark,Reynolds,3.6
George,Brooks,2.51
Linda,Bradley,2.6
Jane,Tucker,2.0
Andrew,Porter,1.06
Sharon,Burns,3.89
Kevin,Phillips,2.67
Christina,Andrews,2.48
Kimberly,Banks,3.83
Ronald,Bennett,3.5
Michael,Fox,0.79
Joshua,Taylor,2.11
Ruby,Cooper,1.59
Theresa,Morris,4.03
Stephen,Graham,3.48
Billy,Martinez,0.11
Paul,Carter,0.26
Marilyn,Schmidt,3.36
Bruce,Spencer,0.16
Deborah,Wagner,2.85
Robert,Mccoy,1.3
Jane,Lawrence,1.28
Brandon,Hawkins,3.13
Anthony,Cole,4.02
Raymond,Coleman,0.92
Kenneth,Howell,0.3
Phillip,Torres,0.57
Bonnie,Crawford,2.02
Juan,Chavez,3.39
Anthony,Wright,2.91
Nancy,Perez,2.93
Chris,Campbell,0.41
Jennifer,Knight,1.85
Harry,Perkins,1.27
Craig,Evans,1.29
Cynthia,Mitchell,0.68
Christine,Richards,0.8
Ryan,Sullivan,1.22
George,Chapman,0.26
Stephen,Davis,3.09
Russell,Simpson,3.28
Catherine,Hawkins,2.06
Chris,Powell,1.13
Ryan,Cooper,1.52
Jose,Chavez,3.31
Donna,Rogers,0.32
Carol,Rose,2.63
Ernest,Cole,4.2
Rose,Holmes,2.32
Brenda,Wood,3.71
Aaron,Chavez,2.63
Jerry,Foster,3.81
Robin,Woods,1.77
Steve,Schmidt,1.7
Gerald,Long,2.75
Nicholas,Austin,4.02
