Margaret,Carr,4.28
Linda,Pierce,1.56
Sarah,Romero,1.49
Douglas,Mcdonald,1.49
Jane,Fernandez,2.92
Samuel,Gonzalez,2.42
Paula,Richards,1.67
Sandra,Burns,2.63
Steve,Burns,0.83
Sharon,Fox,2.06
Joseph,Ellis,2.22
Ruth,Cox,2.26
Doris,Lawson,4.14
Harry,Montgomery,1.07
Joseph,George,3.31
Judy,Morrison,1.2
Frank,Taylor,0.74
Andrew,Schmidt,1.7
Alice,Moore,4.05
Bonnie,Ramos,1.52
Elizabeth,Lane,2.16
Jeremy,Hart,4.14
Diane,Wilson,1.19
Jennifer,Gilbert,1.16
Thomas,Ruiz,3.64
Kathryn,Gilbert,0.91
Daniel,Richardson,2.25
Shirley,Knight,3.49
Joe,Hudson,1.76
David,Campbell,0.66
Andrew,Garcia,0.06
Dorothy,Wagner,2.66
Kathleen,Lopez,3.38
Jennifer,Mitchell,1.28
Roger,Gardner,1.76
Marilyn,Morgan,1.97
Teresa,Reynolds,2.91
Jeremy,Weaver,1.01
Nicole,Bryant,2.65
Eugene,Harvey,3.13
Walter,Olson,1.05
Mary,Garza,2.14
Lois,Murphy,3.17
Benjamin,Knight,0.87
Sharon,Thompson,1.85
Ralph,Young,1.09
Jesse,Chapman,2.38
Jeffrey,Cook,1.72
Charles,Anderson,4.28
Linda,Hall,4.11
